 No. , País de Destino ,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,, Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % 
"11, Canadá , 720 , 0.2 , 147 , 0.1 , 681 , 0.2 ,"" 2,559 "", 0.5 ,"" 2,383 "", 0.4 ,"" 2,396 "", 0.4 ,"" 2,262 "", 0.4 ,"" 1,761 "", 0.3 ,"" 2,583 "", 0.4 ,"" 3,602 "", 0.5 ,"" 3,948 "", 0.5 ,"" 3,753 "", 0.5 ,"" 3,186 "", 0.4 ,"" 3,737 "", 0.4 ,"" 5,105 "", 0.5 ,"" 5,636 "", 0.6 ,"" 6,766 "", 0.6 ,"" 7,987 "", 0.6 ,"" 10,361 "", 0.7 ,"" 15,526 "", 1.0 ,"" 12,343 "", 0.8 ,"" 10,427 "", 0.7 ,"" 9,567 "", 0.6 ,"" 2,833 "", 0.6 "
"12, Alemania ,"" 1,816 "", 0.6 , 524 , 0.2 ,"" 1,477 "", 0.4 ,"" 4,264 "", 0.8 ,"" 3,356 "", 0.6 ,"" 2,949 "", 0.5 ,"" 3,012 "", 0.5 ,"" 2,857 "", 0.5 ,"" 3,942 "", 0.6 ,"" 6,295 "", 0.9 ,"" 4,496 "", 0.6 ,"" 4,163 "", 0.5 ,"" 4,381 "", 0.5 ,"" 4,763 "", 0.5 ,"" 5,102 "", 0.5 ,"" 5,504 "", 0.5 ,"" 5,426 "", 0.5 ,"" 6,278 "", 0.5 ,"" 7,180 "", 0.5 ,"" 7,905 "", 0.5 ,"" 8,051 "", 0.5 ,"" 7,935 "", 0.5 ,"" 8,504 "", 0.6 ,"" 2,786 "", 0.5 "
"13, Cuba ,"" 3,953 "", 1.2 ,"" 3,725 "", 1.4 ,"" 2,453 "", 0.6 ,"" 3,494 "", 0.7 ,"" 4,127 "", 0.7 ,"" 4,764 "", 0.8 ,"" 4,794 "", 0.8 ,"" 5,083 "", 0.8 ,"" 6,133 "", 0.9 ,"" 9,471 "", 1.3 ,"" 7,966 "", 1.0 ,"" 11,180 "", 1.4 ,"" 14,376 "", 1.8 ,"" 18,739 "", 2.1 ,"" 15,292 "", 1.5 ,"" 11,563 "", 1.1 ,"" 10,703 "", 0.9 ,"" 10,458 "", 0.8 ,"" 10,145 "", 0.7 ,"" 12,471 "", 0.8 ,"" 10,801 "", 0.7 ,"" 10,286 "", 0.7 ,"" 8,759 "", 0.6 ,"" 2,084 "", 0.4 "
"14, Reino Unido , 450 , 0.1 , 4 , 0.0 , 282 , 0.1 , 802 , 0.2 , 703 , 0.1 , 547 , 0.1 , 510 , 0.1 , 415 , 0.1 ,"" 1,087 "", 0.2 ,"" 2,623 "", 0.4 ,"" 2,622 "", 0.3 ,"" 2,148 "", 0.3 ,"" 2,107 "", 0.3 ,"" 1,946 "", 0.2 ,"" 2,234 "", 0.2 ,"" 2,693 "", 0.3 ,"" 2,854 "", 0.3 ,"" 3,605 "", 0.3 ,"" 5,421 "", 0.4 ,"" 2,225 "", 0.1 ,"" 8,334 "", 0.5 ,"" 6,728 "", 0.4 ,"" 6,221 "", 0.4 ,"" 1,988 "", 0.4 "
"15, República Dominicana , 782 , 0.2 , 133 , 0.0 , 538 , 0.1 ,"" 1,563 "", 0.3 ,"" 2,660 "", 0.5 ,"" 2,688 "", 0.4 ,"" 2,821 "", 0.5 ,"" 2,689 "", 0.4 ,"" 4,579 "", 0.7 ,"" 6,854 "", 0.9 ,"" 10,573 "", 1.3 ,"" 14,865 "", 1.8 ,"" 14,368 "", 1.8 ,"" 15,290 "", 1.7 ,"" 16,711 "", 1.6 ,"" 11,920 "", 1.2 ,"" 7,725 "", 0.7 ,"" 7,051 "", 0.6 ,"" 6,279 "", 0.4 ,"" 6,057 "", 0.4 ,"" 9,919 "", 0.6 ,"" 9,977 "", 0.7 ,"" 9,522 "", 0.6 ,"" 1,952 "", 0.4 "
"16, Francia ,"" 3,087 "", 1.0 , 784 , 0.3 ,"" 1,355 "", 0.4 ,"" 3,643 "", 0.7 ,"" 2,640 "", 0.5 ,"" 2,961 "", 0.5 ,"" 2,586 "", 0.4 ,"" 1,657 "", 0.3 ,"" 1,906 "", 0.3 ,"" 2,544 "", 0.3 ,"" 3,234 "", 0.4 ,"" 3,230 "", 0.4 ,"" 2,904 "", 0.4 ,"" 3,322 "", 0.4 ,"" 3,767 "", 0.4 ,"" 3,923 "", 0.4 ,"" 3,711 "", 0.3 ,"" 4,214 "", 0.3 ,"" 4,788 "", 0.3 ,"" 4,215 "", 0.3 ,"" 4,472 "", 0.3 ,"" 4,980 "", 0.3 ,"" 6,184 "", 0.4 ,"" 1,623 "", 0.3 "
"17, Venezuela ,"" 9,694 "", 3.0 ,"" 7,025 "", 2.6 ,"" 14,066 "", 3.6 ,"" 8,485 "", 1.6 ,"" 9,211 "", 1.6 ,"" 15,320 "", 2.4 ,"" 11,808 "", 1.9 ,"" 11,373 "", 1.9 ,"" 19,727 "", 3.0 ,"" 13,324 "", 1.8 ,"" 17,360 "", 2.2 ,"" 19,688 "", 2.4 ,"" 18,232 "", 2.2 ,"" 16,835 "", 1.9 ,"" 14,914 "", 1.5 ,"" 14,451 "", 1.4 ,"" 14,224 "", 1.3 ,"" 13,635 "", 1.1 ,"" 10,998 "", 0.8 ,"" 11,942 "", 0.8 ,"" 13,002 "", 0.8 ,"" 10,668 "", 0.7 ,"" 6,653 "", 0.4 ,"" 1,283 "", 0.3 "
"18, Bolivia , 885 , 0.3 , 112 , 0.0 , 523 , 0.1 ,"" 1,406 "", 0.3 ,"" 1,432 "", 0.3 ,"" 1,367 "", 0.2 , 993 , 0.2 ,"" 1,117 "", 0.2 ,"" 1,935 "", 0.3 ,"" 1,835 "", 0.3 ,"" 1,762 "", 0.2 ,"" 1,449 "", 0.2 ,"" 2,547 "", 0.3 ,"" 1,998 "", 0.2 ,"" 1,905 "", 0.2 ,"" 2,063 "", 0.2 ,"" 2,409 "", 0.2 ,"" 3,419 "", 0.3 ,"" 4,553 "", 0.3 ,"" 2,703 "", 0.2 ,"" 4,746 "", 0.3 ,"" 4,997 "", 0.3 ,"" 4,822 "", 0.3 ,"" 1,107 "", 0.2 "
"19, Suiza , 436 , 0.1 , 89 , 0.0 , 514 , 0.1 ,"" 1,307 "", 0.3 ,"" 1,056 "", 0.2 , 918 , 0.1 ,"" 1,102 "", 0.2 ,"" 1,298 "", 0.2 ,"" 1,736 "", 0.3 ,"" 1,914 "", 0.3 ,"" 2,109 "", 0.3 ,"" 2,092 "", 0.3 ,"" 1,910 "", 0.2 ,"" 2,191 "", 0.2 ,"" 2,440 "", 0.2 ,"" 2,840 "", 0.3 ,"" 2,620 "", 0.2 ,"" 3,121 "", 0.2 ,"" 3,511 "", 0.3 ,"" 3,839 "", 0.2 ,"" 4,058 "", 0.3 ,"" 3,313 "", 0.2 ,"" 3,181 "", 0.2 ,"" 1,062 "", 0.2 "
"20, Holanda (Países Bajos) ,"" 12,150 "", 3.8 ,"" 15,809 "", 5.7 ,"" 18,197 "", 4.7 ,"" 4,375 "", 0.8 ,"" 6,905 "", 1.2 ,"" 10,681 "", 1.7 ,"" 7,305 "", 1.2 ,"" 4,302 "", 0.7 ,"" 4,057 "", 0.6 ,"" 2,788 "", 0.4 ,"" 2,868 "", 0.4 ,"" 3,238 "", 0.4 ,"" 2,946 "", 0.4 ,"" 3,387 "", 0.4 ,"" 3,004 "", 0.3 ,"" 3,454 "", 0.3 ,"" 7,235 "", 0.6 ,"" 6,426 "", 0.5 ,"" 3,886 "", 0.3 ,"" 3,700 "", 0.2 ,"" 4,100 "", 0.3 ,"" 4,090 "", 0.3 ,"" 3,875 "", 0.3 ,"" 1,026 "", 0.2 "
", Otros ,"" 11,000 "", 3.4 ,"" 9,958 "", 3.6 ,"" 17,820 "", 4.6 ,"" 19,692 "", 3.8 ,"" 18,412 "", 3.3 ,"" 15,427 "", 2.5 ,"" 13,470 "", 2.2 ,"" 15,564 "", 2.6 ,"" 17,179 "", 2.6 ,"" 20,759 "", 2.8 ,"" 25,023 "", 3.1 ,"" 34,676 "", 4.2 ,"" 27,075 "", 3.3 ,"" 32,538 "", 3.6 ,"" 37,080 "", 3.6 ,"" 39,521 "", 3.9 ,"" 38,213 "", 3.4 ,"" 38,117 "", 3.0 ,"" 43,341 "", 3.1 ,"" 44,881 "", 2.9 ,"" 48,090 "", 3.1 ,"" 49,692 "", 3.3 ,"" 50,498 "", 3.3 ,"" 12,519 "", 2.5 "
", Total*  ,"" 320,623 "", 100.0 ,"" 274,995 "", 100.0 ,"" 385,653 "", 100.0 ,"" 519,974 "", 100.0 ,"" 562,067 "", 100.0 ,"" 626,611 "", 100.0 ,"" 613,106 "", 100.0 ,"" 603,319 "", 100.0 ,"" 663,601 "", 100.0 ,"" 733,459 "", 100.0 ,"" 800,869 "", 100.0 ,"" 817,981 "", 100.0 ,"" 813,637 "", 100.0 ,"" 898,885 "", 100.0 ,"" 1,022,451 "", 100.0 ,"" 1,022,205 "", 100.0 ,"" 1,137,875 "", 100.0 ,"" 1,278,336 "", 100.0 ,"" 1,398,167 "", 100.0 ,"" 1,550,898 "", 100.0 ,"" 1,547,312 "", 100.0 ,"" 1,497,680 "", 100.0 ,"" 1,544,708 "", 100.0 ,"" 508,095 "", 100.0 "

