anio;mes;semana;total_semana_anterior;total_anio_anterior;total_semana_actual
2021;1;1;7530.42;0;164.27
2021;1;2;164.27;0;36497.99
2021;1;3;36497.99;0;39079.03
2021;1;4;39079.03;0;22871.81
2021;2;1;22871.81;28668.92;20407.53
2021;2;2;20407.53;43382.25;12264.49
2021;2;3;12264.49;27965.3;6138.07
2021;2;4;6138.07;12638.9;10232.16
2021;3;1;10232.16;18427.04;14779.75
2021;3;2;14779.75;14744.11;11637.59
2021;3;3;11637.59;400.17;12428.64
2021;3;4;12428.64;0;12816.25
2021;4;1;12816.25;0;2353.23
2021;4;2;2353.23;0;7290.78
2021;4;3;7290.78;0;1335.99
2021;4;4;1335.99;0;0
2021;5;1;0;190.35;0
2021;5;2;0;284.72;0
2021;5;3;0;576.65;0
2021;5;4;0;418.33;0
2021;6;1;0;544.67;0
2021;6;2;0;2024.67;0
2021;6;3;0;3169.62;0
2021;6;4;0;2580.03;0
2021;7;1;0;6111.4;0
2021;7;2;0;3577.72;0
2021;7;3;0;3722.07;0
2021;7;4;0;6438.16;0
2021;8;1;0;4039.65;0
2021;8;2;0;4003.61;0
2021;8;3;0;4516.32;0
2021;8;4;0;5594.94;0
2021;9;1;0;7152.19;0
2021;9;2;0;5239.78;0
2021;9;3;0;6047.71;0
2021;9;4;0;6928.69;0
2021;10;1;0;8240.82;0
2021;10;2;0;5633.8;0
2021;10;3;0;11164.97;0
2021;10;4;0;6154.45;0
2021;11;1;0;3052.2;0
2021;11;2;0;4675.29;0
2021;11;3;0;6770.28;0
2021;11;4;0;6835.23;0
2021;12;1;0;7814.21;0
2021;12;2;0;7362.16;0
2021;12;3;0;10003.03;0
2021;12;4;0;7530.42;0
